10 2
1 1 1.2699727513106476
1 2 -0.5448914171832965
2 1 -0.8329552666007412
2 2 2.7196411671855785
1 3 0.024102533850755226
2 4 0.29610601024584005
3 3 -0.05551760687096419
3 4 1.7080802874442418
4 3 1.8194582091155713
4 4 -1.9413787245804648
3 5 0.2398898068265621
4 6 0.050235827961958086
3 2 0.20588509743478178
4 2 0.2735059175814792
5 5 1.8512990385348045
5 6 -0.26904600328934414
6 5 -1.7308466064927612
6 6 1.8720246106359364
5 7 0.23671372707006932
6 8 0.21996433922284891
5 4 0.14562666328586715
6 4 0.2553259432582459
7 7 -0.31699258582964607
7 8 1.7816721449495438
8 7 1.9814697316942276
8 8 -1.6730026212829234
7 9 0.16564191846740087
8 10 0.054641972652191506
7 6 0.03792503939385037
8 6 0.16064393551406092
9 9 -1.0189230520388786
9 10 1.8239322873329686
10 9 2.1754728249412807
10 10 -0.9499393734286956
9 8 0.11323033587006893
10 8 0.11566439749327251
